"guid","LS_0","LS_1","LS_2","DS_0","DS_1","DS_2","DS_3","haz_expose"
"f3a21b5f-0334-4d77-911f-faa9a45c92d7","0.0","0.0","0.0","1.0","0.0","0.0","0.0","yes"
"80ab0289-8c72-4699-b12b-08ef2f2a5c91","0.0007000482","0.0","0.0","0.9992999518","0.0007000482","0.0","0.0","yes"
"7916eaa8-0bfa-4b32-84ff-20f19a520f5c","1.54429e-05","0.0","0.0","0.9999845571","0.0000154429","0.0","0.0","yes"
"79008971-a534-4e45-9e40-43a2a904e59b","3e-10","0.0","0.0","0.9999999997","3E-10","0.0","0.0","yes"
"2ad8ab6f-057f-468e-9911-6e92d9d4d01f","6e-10","0.0","0.0","0.9999999994","6E-10","0.0","0.0","yes"
"42167885-ea18-41b4-be8c-5c09c330d312","0.0034431877","0.0003724203","1.61343e-05","0.9965568123","0.0030707674","0.0003562860","0.0000161343","yes"
"2f8610f1-40de-44db-b3ea-1a0377e3e108","0.0006453112","0.0","0.0","0.9993546888","0.0006453112","0.0","0.0","yes"
"3dab0b4b-42eb-4df6-a5e1-c1882df41704","0.0006867336","0.0","0.0","0.9993132664","0.0006867336","0.0","0.0","yes"
"e474c4ef-a091-47ab-85b4-ef0459e37834","0.142325493","0.04677881","6.0183e-06","0.857674507","0.095546683","0.0467727917","0.0000060183","yes"
"335d18da-7a60-4f4d-8c97-d35e0f3a1360","0.1424333562","0.0468303676","6.0329e-06","0.8575666438","0.0956029886","0.0468243347","0.0000060329","yes"
"eb47b2e1-0f51-4e93-bd00-979cb6992b18","0.0006266104","0.0","0.0","0.9993733896","0.0006266104","0.0","0.0","yes"
"910074f1-f88e-4af3-ab70-15c6c62fb16d","0.0017964026","0.0001572531","6.3153e-06","0.9982035974","0.0016391495","0.0001509378","0.0000063153","yes"
"aad9f3d3-88f9-4d4c-84a9-1895ad86ac98","0.0908088763","0.0244553337","1.5106e-06","0.9091911237","0.0663535426","0.0244538231","0.0000015106","yes"
"7f789127-5219-46e8-a876-5c9d3e7be948","0.0004593923","0.0","0.0","0.9995406077","0.0004593923","0.0","0.0","yes"
"0368d9c6-8949-4c8a-a6f8-660606690500","0.1819542728","0.0669709543","1.34204e-05","0.8180457272","0.1149833185","0.0669575339","0.0000134204","yes"
"a62ca987-944d-4b72-b5df-2b3f2efd03b4","0.0002128362","3.8028e-06","2.06e-07","0.9997871638","0.0002090334","0.0000035968","2.06E-7","yes"
"031d5685-612d-49bb-9c7d-b5fa2f44abf5","0.1604720028","0.0453447438","0.0030427072","0.8395279972","0.1151272590","0.0423020366","0.0030427072","yes"
"2262ceaa-9bfd-45ae-82eb-bfecfce0bc05","1e-10","0.0","0.0","0.9999999999","1E-10","0.0","0.0","yes"
"7b863546-f113-49c9-8e99-d85db1451850","0.0","0.0","0.0","1.0","0.0","0.0","0.0","yes"
"b191108d-5b6f-470d-8404-c3c03aabde90","0.0","0.0","0.0","1.0","0.0","0.0","0.0","yes"
"9da4ad79-7e68-40b0-9b51-776df9d3c353","0.0","0.0","0.0","1.0","0.0","0.0","0.0","yes"
"066ed012-4acf-47d5-a82a-09bec1b8ce95","1e-10","0.0","0.0","0.9999999999","1E-10","0.0","0.0","yes"
"bb5d8f44-9512-4f79-9960-17e968075cdd","0.0001051215","0.0","0.0","0.9998948785","0.0001051215","0.0","0.0","yes"
"907cc67f-46e2-49a0-8354-3eeeee5f58a5","1e-10","0.0","0.0","0.9999999999","1E-10","0.0","0.0","yes"
"cfca6de4-a4b0-4e92-890e-287f8ae05af1","3.23959e-05","0.0","0.0","0.9999676041","0.0000323959","0.0","0.0","yes"
"8bedff88-ad0a-4b3a-acdf-c69e638caacd","0.0009500858","0.0","0.0","0.9990499142","0.0009500858","0.0","0.0","yes"
"11552d11-1930-48cc-9129-b407164202be","0.0","0.0","0.0","1.0","0.0","0.0","0.0","yes"
"803d2e81-0b03-476e-86ef-7dd954e92606","0.0","0.0","0.0","1.0","0.0","0.0","0.0","yes"
"bbff89ac-218f-4eb6-b435-af77c6315378","0.0","0.0","0.0","1.0","0.0","0.0","0.0","yes"
"8e354c98-b37c-4548-98b9-e8b1620e6cfe","1e-10","0.0","0.0","0.9999999999","1E-10","0.0","0.0","yes"
"9df05672-2728-40e3-98f9-105b04470b90","2e-10","0.0","0.0","0.9999999998","2E-10","0.0","0.0","yes"
"321a0288-533d-4b37-9260-9b090f5311da","0.0","0.0","0.0","1.0","0.0","0.0","0.0","yes"
"21007ce4-c57c-4584-ab91-c970e788389f","0.0","0.0","0.0","1.0","0.0","0.0","0.0","yes"
"ee4cc2bc-0709-4ded-bdec-754e06fc9798","0.0009408268","0.0","0.0","0.9990591732","0.0009408268","0.0","0.0","yes"
"d3637889-c05e-4bcf-88d3-273ea2d839d2","0.0009117029","0.0","0.0","0.9990882971","0.0009117029","0.0","0.0","yes"
"c925ef03-4786-4161-b2ee-55b4f727e6b1","2e-09","0.0","0.0","0.999999998","2E-9","0.0","0.0","yes"
"bd845514-1fee-461e-859d-8a9dbe323bbd","4.2621e-06","0.0","0.0","0.9999957379","0.0000042621","0.0","0.0","yes"
"1b192e4e-05d8-4f7f-8699-66bd26174c62","0.0008927695","0.0","0.0","0.9991072305","0.0008927695","0.0","0.0","yes"
"4008b856-b536-448f-ba88-b02b861fd0a1","3.1128e-06","0.0","0.0","0.9999968872","0.0000031128","0.0","0.0","yes"
"9af417c2-f1fd-4ef1-9ef8-f4dde62b246c","5.9e-09","0.0","0.0","0.9999999941","5.9E-9","0.0","0.0","yes"
